"Data Element (Field Name)","Type (min,max)","Format / Values"
":ref:`dfn-organisation_path`

(organisation_path)",string,"No compariable concept in ATAPS MDS.

PHN's will be required to populate this field."
":ref:`dfn-client_key`

(client_key)

","string (2,50)","ATAPS patient_key"
":ref:`dfn-slk`

(slk)","string (14,40)","ATAPS slk or slk_hash"
":ref:`dfn-date_of_birth`

(date_of_birth)",date,"Only the patients' year of birth is recorded in ATAPS. The date_of_birth field is
populated with an estimated date of birth, being 1st January in the recorded year of birth.

For example, if a patient's year of birth is 1975, the PMHC client date_of_birth is mapped to 01011975."
":ref:`dfn-est_date_of_birth`

(est_date_of_birth)",string,"All clients have an estimated date of birth. Mapped to option 2 for all clients:

:2: Date of birth is an estimate"
":ref:`dfn-client_gender`

(client_gender)",string,"Mapped from ATAPS to PMHC gender codes. Note that Female/Male codes are swapped between the two MDS systems.

=================  ================
ATAPS gender       PMHC gender
=================  ================
:0: (Blank)        :0: Not stated/Inadequately described  
:1: Female         :1: Male
:2: Male           :2: Female
=================  ================

"
":ref:`dfn-client_atsi_status`

(client_atsi_status)",string,"TODO

:1: Aboriginal but not Torres Strait Islander origin
:2: Torres Strait Islander but not Aboriginal origin
:3: Both Aboriginal and Torres Strait Islander origin
:4: Neither Aboriginal or Torres Strait Islander origin
:9: Not stated/inadequately described"
":ref:`dfn-country_of_birth`

(country_of_birth)","string (4)","Not part of ATAPS MDS. All practitioner records populated with 

:9999: Unknown"
":ref:`dfn-main_lang_at_home`

(main_lang_at_home)","string (4)","TODO"
":ref:`dfn-prof_english`

(prof_english)",string,"TODO"
":ref:`dfn-client_tags`

(client_tags)

",string,"No compariable concept in the ATAPS MDS. All records will be populated with the reserved tag

 !ATAPS"
