"Data Element (Field Name)","Type (min,max)","Format / Values"
":ref:`dfn-organisation_path`

(organisation_path)",string,"No compariable concept in ATAPS MDS.

PHN's will be required to populate this field."
":ref:`dfn-episode_key`

(episode_key)

","string (2,50)","A unique identifier for each episode generated by concatenating the string 'E', an internal ATAPS identifier (integer), and the string 'ATAPS'. For example

 E12345ATAPS"
":ref:`dfn-client_key`

(client_key)

","string (2,50)","ATAPS patient_key"
":ref:`dfn-episode_end_date`

(episode_end_date)",date,"When the ATAPS referral has a conclusion, the date of the most recent session date for this referral."
":ref:`dfn-client_consent`

(client_consent)",string,"All ATAPS patients are assumed to have consented to their data being collected. Mapped to option 1 for all episodes:

:1: Yes"
":ref:`dfn-episode_completion_status`

(episode_completion_status)

",string,"Mapped from ATAPS referral conclusion

==============================================  ==============================
ATAPS referral conclusion                       PMHC episode completion status
==============================================  ==============================
:1: Treatment complete                          :1: Episode closed - treatment concluded
:2: Patient could not be contacted              :3: Episode closed administratively - client declined further contact
:3: Patient refused treatment                   :3: Episode closed administratively - client declined further contact
:4: Patient referred elsewhere                  :5: Episode closed administratively - client referred elsewhere
:5: Treatment incomplete but referral closed    :6: Episode closed administratively - other reason
:6: Patient ineligible                          :6: Episode closed administratively - other reason
==============================================  ==============================

"
":ref:`dfn-referral_date`

(referral_date)",date,"ATAPS referral_date"
":ref:`dfn-principal_focus`

(principal_focus)",string,"TODO

:1: Psychological therapy
:2: Low intensity psychological intervention
:3: Clinical care coordination
:4: Complex care package
:5: Child and youth-specific mental health services
:6: Indigenous-specific mental health services
:7: Other"
":ref:`dfn-mental_health_treatment_plan`

(mental_health_treatment_plan)",string,"Not part of ATAPS MDS. All episode records populated with

:9: Not stated/inadequately described"
":ref:`dfn-homelessness`

(homelessness)",string,"Not part of ATAPS MDS. All episode records populated with

:9: Not stated / Missing"
":ref:`dfn-client_postcode`

(client_postcode)",string,"ATAPS referral postcode"
":ref:`dfn-labour_force_status`

(labour_force_status)",string,"Not part of ATAPS MDS. All episode records populated with

:9: Not stated/inadequately described"
":ref:`dfn-employment_participation`

(employment_participation)",string,"Not part of ATAPS MDS. All episode records populated with

:9: Not stated/inadequately described"
":ref:`dfn-income_source`

(income_source)",string,"Not part of ATAPS MDS. All episode records populated with

:9: Not stated/inadequately described"
":ref:`dfn-health_care_card`

(health_care_card)",string,"Not part of ATAPS MDS. All episode records populated with

:9: Not stated"
":ref:`dfn-ndis_participant`

(ndis_participant)",string,"Not part of ATAPS MDS. All episode records populated with

:9: Not stated/inadequately described"
":ref:`dfn-marital_status`

(marital_status)",string,"Not part of ATAPS MDS. All episode records populated with

:6: Not stated/inadequately described"
":ref:`dfn-suicide_referral_flag`

(suicide_referral_flag)",string,"Derived from the ATAPS referral type.

Referrals with an ATAPS referral_type of either 'Suicide Prevention (3)' or
'ATSI Suicide prevention (11)' are coded as 

:1: Yes

All other referral types map to

:2: No"
