"Data Element (Field Name)","Type (min,max)","Format / Values"
":ref:`dfn-organisation_path`

(organisation_path)",string,"No compariable concept in ATAPS MDS.

PHN's will be required to populate this field."
":ref:`dfn-collection_occasion_key`

(collection_occasion_key)

","string (2,50)","A unique identifier for each collection occasion generated by concatenating the string 'CO', an internal ATAPS identifier (integer), and the string 'ATAPS'. For example

 CO12345ATAPS"
":ref:`dfn-episode_key`

(episode_key)

","string (2,50)","A unique identifier for each episode generated by concatenating the string 'E', an internal ATAPS identifier (integer), and the string 'ATAPS'. For example

 E12345ATAPS"
":ref:`dfn-measure_date`

(measure_date)",date,"The ATAPS collection occasion date (measure_taken), or the date 09099999 when missing"
":ref:`dfn-reason_for_collection`

(reason_for_collection)",string,"ATAPS only collected 'initial' and/or 'final' measures for an episode.

Any K10+ 'initial' measures are mapped to

:1: Episode start

while 'final' K10+ measures are mapped to

:3: Episode end"
":ref:`dfn-k10p_item1`

(k10p_item1)",string,"ATAPS K10+ collection occasion item 1 score (k01)"
":ref:`dfn-k10p_item2`

(k10p_item2)",string,"ATAPS K10+ collection occasion item 2 score (k02)"
":ref:`dfn-k10p_item3`

(k10p_item3)",string,"ATAPS K10+ collection occasion item 3 score (k03)"
":ref:`dfn-k10p_item4`

(k10p_item4)",string,"ATAPS K10+ collection occasion item 4 score (k04)"
":ref:`dfn-k10p_item5`

(k10p_item5)",string,"ATAPS K10+ collection occasion item 5 score (k05)"
":ref:`dfn-k10p_item6`

(k10p_item6)",string,"ATAPS K10+ collection occasion item 6 score (k06)"
":ref:`dfn-k10p_item7`

(k10p_item7)",string,"ATAPS K10+ collection occasion item 7 score (k07)"
":ref:`dfn-k10p_item8`

(k10p_item8)",string,"ATAPS K10+ collection occasion item 8 score (k08)"
":ref:`dfn-k10p_item9`

(k10p_item9)",string,"ATAPS K10+ collection occasion item 9 score (k09)"
":ref:`dfn-k10p_item10`

(k10p_item10)",string,"ATAPS K10+ collection occasion item 10 score (k10)"
":ref:`dfn-k10p_item11`

(k10p_item11)",integer,"Item score not recorded in ATAPS. All K10+ collection occasions mapped to

:99: Not stated / Missing"
":ref:`dfn-k10p_item12`

(k10p_item12)",integer,"Item score not recorded in ATAPS. All K10+ collection occasions mapped to

:99: Not stated / Missing"
":ref:`dfn-k10p_item13`

(k10p_item13)",integer,"Item score not recorded in ATAPS. All K10+ collection occasions mapped to

:99: Not stated / Missing"
":ref:`dfn-k10p_item14`

(k10p_item14)",string,"Item score not recorded in ATAPS. All K10+ collection occasions mapped to

:9: Not stated / Missing"
":ref:`dfn-k10p_score`

(k10p_score)",integer,"ATAPS K10+ collection occasion total score (ktot10)"
":ref:`dfn-k10p_tags`

(k10p_tags)",string,"No compariable concept in the ATAPS MDS. All records will be populated with the reserved tag

 !ATAPS"
