"Data Element (Field Name)","Type (min,max)","Format / Values"
":ref:`dfn-organisation_path`

(organisation_path)",string,"No compariable concept in ATAPS MDS.

PHN's will be required to populate this field."
":ref:`dfn-collection_occasion_key`

(collection_occasion_key)

","string (2,50)","A unique identifier for each collection occasion generated by concatenating the string 'CO', an internal ATAPS identifier (integer), and the string 'ATAPS'. For example

 CO12345ATAPS"
":ref:`dfn-episode_key`

(episode_key)

","string (2,50)","A unique identifier for each episode generated by concatenating the string 'E', an internal ATAPS identifier (integer), and the string 'ATAPS'. For example

 E12345ATAPS"
":ref:`dfn-measure_date`

(measure_date)",date,"The ATAPS collection occasion date (measure_taken), or the date 09099999 when missing"
":ref:`dfn-reason_for_collection`

(reason_for_collection)",string,"ATAPS only collected 'initial' and/or 'final' measures for an episode.

Any SDQ 'initial' measures are mapped to

:1: Episode start

while 'final' SDQ measures are mapped to

:3: Episode end"
":ref:`dfn-sdq_version`

(sdq_version)",string,"ATAPS recorded the three variants of SDQ as seperate measures.

The SDQ version is mapped from the SDQ measure type and the reason for collection:

===========================    ================
ATAPS measure + collection     PMHC SDQ version
===========================    ================
SDQ PC + Initial collection    :PC101: Parent Report Measure 4-10 yrs, Baseline version, Australian Version 1
SDQ PC + Final collection      :PC201: Parent Report Measure 4-10 yrs, Follow Up version, Australian Version 1
SDQ PY + Initial collection    :PY101: Parent Report Measure 11-17 yrs, Baseline version, Australian Version 1
SDQ PY + Final collection      :PY201: Parent Report Measure 11-17 yrs, Follow Up version, Australian Version 1
SDQ YR + Initial collection    :YR101: Self report Version, 11-17 years, Baseline version, Australian Version 1
SDQ YP + Final collection      :YR201: Self report Version, 11-17 years, Follow Up version, Australian Version 1
===========================    ================

"
":ref:`dfn-sdq_item1`

(sdq_item1)",string,"ATAPS SDQ collection occasion item 1 score (s01)"
":ref:`dfn-sdq_item2`

(sdq_item2)",string,"ATAPS SDQ collection occasion item 2 score (s02)"
":ref:`dfn-sdq_item3`

(sdq_item3)",string,"ATAPS SDQ collection occasion item 3 score (s03)"
":ref:`dfn-sdq_item4`

(sdq_item4)",string,"ATAPS SDQ collection occasion item 4 score (s04)"
":ref:`dfn-sdq_item5`

(sdq_item5)",string,"ATAPS SDQ collection occasion item 5 score (s05)"
":ref:`dfn-sdq_item6`

(sdq_item6)",string,"ATAPS SDQ collection occasion item 6 score (s06)"
":ref:`dfn-sdq_item7`

(sdq_item7)",string,"ATAPS SDQ collection occasion item 7 score (s07)"
":ref:`dfn-sdq_item8`

(sdq_item8)",string,"ATAPS SDQ collection occasion item 8 score (s08)"
":ref:`dfn-sdq_item9`

(sdq_item9)",string,"ATAPS SDQ collection occasion item 9 score (s09)"
":ref:`dfn-sdq_item10`

(sdq_item10)",string,"ATAPS SDQ collection occasion item 10 score (s10)"
":ref:`dfn-sdq_item11`

(sdq_item11)",string,"ATAPS SDQ collection occasion item 11 score (s11)"
":ref:`dfn-sdq_item12`

(sdq_item12)",string,"ATAPS SDQ collection occasion item 12 score (s12)"
":ref:`dfn-sdq_item13`

(sdq_item13)",string,"ATAPS SDQ collection occasion item 13 score (s13)"
":ref:`dfn-sdq_item14`

(sdq_item14)",string,"ATAPS SDQ collection occasion item 14 score (s14)"
":ref:`dfn-sdq_item15`

(sdq_item15)",string,"ATAPS SDQ collection occasion item 15 score (s15)"
":ref:`dfn-sdq_item16`

(sdq_item16)",string,"ATAPS SDQ collection occasion item 16 score (s16)"
":ref:`dfn-sdq_item17`

(sdq_item17)",string,"ATAPS SDQ collection occasion item 17 score (s17)"
":ref:`dfn-sdq_item18`

(sdq_item18)",string,"ATAPS SDQ collection occasion item 18 score (s18)"
":ref:`dfn-sdq_item19`

(sdq_item19)",string,"ATAPS SDQ collection occasion item 19 score (s19)"
":ref:`dfn-sdq_item20`

(sdq_item20)",string,"ATAPS SDQ collection occasion item 20 score (s20)"
":ref:`dfn-sdq_item21`

(sdq_item21)",string,"ATAPS SDQ collection occasion item 21 score (s21)"
":ref:`dfn-sdq_item22`

(sdq_item22)",string,"ATAPS SDQ collection occasion item 22 score (s22)"
":ref:`dfn-sdq_item23`

(sdq_item23)",string,"ATAPS SDQ collection occasion item 23 score (s23)"
":ref:`dfn-sdq_item24`

(sdq_item24)",string,"ATAPS SDQ collection occasion item 24 score (s24)"
":ref:`dfn-sdq_item25`

(sdq_item25)",string,"ATAPS SDQ collection occasion item 25 score (s25)"
":ref:`dfn-sdq_item26`

(sdq_item26)",string,"ATAPS SDQ collection occasion item 26 score (s26)"
":ref:`dfn-sdq_item27`

(sdq_item27)",string,"ATAPS SDQ collection occasion item 27 score (s27)"
":ref:`dfn-sdq_item28`

(sdq_item28)",string,"ATAPS SDQ collection occasion item 28 score (s28)"
":ref:`dfn-sdq_item29`

(sdq_item29)",string,"ATAPS SDQ collection occasion item 29 score (s29)"
":ref:`dfn-sdq_item30`

(sdq_item30)",string,"ATAPS SDQ collection occasion item 30 score (s30)"
":ref:`dfn-sdq_item31`

(sdq_item31)",string,"ATAPS SDQ collection occasion item 31 score (s31)"
":ref:`dfn-sdq_item32`

(sdq_item32)",string,"ATAPS SDQ collection occasion item 32 score (s32)"
":ref:`dfn-sdq_item33`

(sdq_item33)",string,"Item score not recorded in ATAPS. All SDQ collection occasions mapped to

:9: Not stated / Missing"
":ref:`dfn-sdq_item34`

(sdq_item34)",string,"Item score not recorded in ATAPS. All SDQ collection occasions mapped to

:9: Not stated / Missing"
":ref:`dfn-sdq_item35`

(sdq_item35)",string,"Item score not recorded in ATAPS. All SDQ collection occasions mapped to

:9: Not stated / Missing"
":ref:`dfn-sdq_item36`

(sdq_item36)",string,"Item score not recorded in ATAPS. All SDQ collection occasions mapped to

:9: Not stated / Missing"
":ref:`dfn-sdq_item37`

(sdq_item37)",string,"Item score not recorded in ATAPS. All SDQ collection occasions mapped to

:9: Not stated / Missing"
":ref:`dfn-sdq_item38`

(sdq_item38)",string,"Item score not recorded in ATAPS. All SDQ collection occasions mapped to

:9: Not stated / Missing"
":ref:`dfn-sdq_item39`

(sdq_item39)",string,"Item score not recorded in ATAPS. All SDQ collection occasions mapped to

:9: Not stated / Missing"
":ref:`dfn-sdq_item40`

(sdq_item40)",string,"Item score not recorded in ATAPS. All SDQ collection occasions mapped to

:9: Not stated / Missing"
":ref:`dfn-sdq_item41`

(sdq_item41)",string,"Item score not recorded in ATAPS. All SDQ collection occasions mapped to

:9: Not stated / Missing"
":ref:`dfn-sdq_item42`

(sdq_item42)",string,"Item score not recorded in ATAPS. All SDQ collection occasions mapped to

:9: Not stated / Missing"
":ref:`dfn-sdq_emotional_symptoms`

(sdq_emotional_symptoms)",integer,"ATAPS SDQ collection occasion emotional symptoms scale (sess)"
":ref:`dfn-sdq_conduct_problem`

(sdq_conduct_problem)",integer,"ATAPS SDQ collection occasion conduct problem scale (scps)"
":ref:`dfn-sdq_hyperactivity`

(sdq_hyperactivity)",integer,"ATAPS SDQ collection occasion hyperactivity scale (shs)"
":ref:`dfn-sdq_peer_problem`

(sdq_peer_problem)",integer,"ATAPS SDQ collection occasion peer problem scale (spps)"
":ref:`dfn-sdq_prosocial`

(sdq_prosocial)",integer,"ATAPS SDQ collection occasion prosocial scale (sps)"
":ref:`dfn-sdq_total`

(sdq_total)",integer,"ATAPS SDQ collection occasion total difficulties score (stds)"
":ref:`dfn-sdq_impact`

(sdq_impact)",integer,"ATAPS SDQ collection occasion impact score (sis)"
":ref:`dfn-sdq_tags`

(sdq_tags)",string,"No compariable concept in the ATAPS MDS. All records will be populated with the reserved tag

 !ATAPS"
