id,description
1,"General Practice"
2,"Medical Specialist Consulting Rooms"
3,"Private practice"
4,"Public mental health service"
5,"Public Hospital"
6,"Private Hospital"
7,"Emergency Department"
8,"Community Health Centre"
9,"Drug and Alcohol Service"
10,"Community Support Organisation NFP"
11,"Indigenous Health Organisation"
12,"Child and Maternal Health"
13,"Nursing Service"
14,"Telephone helpline"
15,"Digital health service"
16,"Family Support Service"
17,"School"
18,"Tertiary Education institution"
19,"Housing service"
20,"Centrelink"
21,"Other"
98,"N/A - Self referral"
99,"Not stated"
