"Data Element (Field Name)","Type (min,max)","Format / Values"
"`Organisation Path`_ (organisation_path)

",string,"A sequence of colon separated Organisation Keys that fully specifies the Provider Organisation providing a service to the client."
"`Collection Occasion Key`_ (collection_occasion_key)

","string (2,50)","This is a number or code assigned to each collection occasion of outcome measures. The Collection Occasion Key is unique and stable for each collection occasion at the level of the organisation."
"`Episode Key`_ (episode_key)

",,
"`Collection Occasion - Measure Date`_ (measure_date)

",date,"The date the measure was given."
"`Collection Occasion - Reason`_ (reason_for_collection)

",string,":1: Episode start
:2: Review
:3: Episode end"
"`K10+ - Question 1`_ (k10p_item1)

",string,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K10+ - Question 2`_ (k10p_item2)

",string,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K10+ - Question 3`_ (k10p_item3)

",string,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K10+ - Question 4`_ (k10p_item4)

",string,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K10+ - Question 5`_ (k10p_item5)

",string,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K10+ - Question 6`_ (k10p_item6)

",string,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K10+ - Question 7`_ (k10p_item7)

",string,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K10+ - Question 8`_ (k10p_item8)

",string,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K10+ - Question 9`_ (k10p_item9)

",string,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K10+ - Question 10`_ (k10p_item10)

",string,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K10+ - Question 11`_ (k10p_item11)

",integer,"0 - 28, 99 = Not stated / Missing"
"`K10+ - Question 12`_ (k10p_item12)

",integer,"0 - 28, 99 = Not stated / Missing"
"`K10+ - Question 13`_ (k10p_item13)

",integer,"0 - 89, 99 = Not stated / Missing"
"`K10+ - Question 14`_ (k10p_item14)

",string,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K10+ - Score`_ (k10p_score)

",integer,"10 - 50, 99 = Not stated / Missing"
"`K10+ - Tags`_ (k10p_tags)

",string,"List of tags for the collection occasion."
