id,description
1,"General Practice"
2,"Medical Specialist"
3,"Hospital Ward"
4,"Emergency Department"
5,"Community Health - Government"
6,"Community Health - NFP"
7,"Non Government Organisation"
8,"School - Primary"
9,"School - Secondary"
10,"School - Pre/Kindergarten"
11,"School - Special"
12,"School - Other"
13,"University"
14,"TAFE"
15,"Child and Maternal Health"
16,"Nursing Service"
17,"Family Support Service"
18,"Mental Health Services"
19,"Housing Services"
20,"Help Lines and Referral Services"
21,"ATSI Health Organisation/Aboriginal Controlled Community Health Service"
22,"Acute Mental Health Team"
23,"Centrelink"
24,"Drug and Alcohol Service"
25,"Other?"
